k_wind,mean_bias_m,rmse_m,mae_m,correlation,mean_abs_balance_at_obs,mean_balance_std_at_obs,n_years
0.0,53.71688142523038,98.11874643736658,77.91239346260372,0.733776906405053,0.8449033762711904,0.44126812546248234,19
0.05,51.617472696476725,96.00132655680073,76.43778549391045,0.7368679739206511,0.8485572181999995,0.4462591856272037,19
0.1,49.769740107039986,94.01754380412393,74.72054034208551,0.735247688305909,0.8522504905384516,0.45152874488833633,19
0.15000000000000002,48.098089063089716,92.2195265245857,73.28702680514361,0.7364387279788362,0.8559203623007556,0.45699147342197843,19
0.2,46.65713813281167,90.74371949028313,72.08168515005495,0.7368509576891262,0.8596034230492791,0.4626862819487464,19
0.25,45.25092542577784,89.67922841662296,71.08061252892644,0.7328305422603952,0.8632663420432525,0.4685474835484307,19
0.30000000000000004,43.63027237451629,87.63542674177002,69.45299869936854,0.735709787832168,0.8669564394808615,0.4746373515694125,19
0.35000000000000003,42.26202231973584,86.02997752922589,68.25253741074786,0.735135962373012,0.8706396686920712,0.4808914888526126,19
0.4,40.4555468510539,84.00776144845466,66.52783653086234,0.7376668244502069,0.8742965539898538,0.4872768791668668,19
0.45,38.994850152238996,82.20933072462317,65.19811717731467,0.7400322408829165,0.8779514682113578,0.4938254614586583,19
0.5,37.97740927980095,80.93340246657246,64.26852490717891,0.7422295433876297,0.8816488322420991,0.5005057931805086,19
0.55,37.1627084007376,80.25959389836886,63.65238174010308,0.7432599515531365,0.8853408418266884,0.5073570089036644,19
0.6000000000000001,36.17652840460427,79.80821762627541,63.366305281556926,0.7439959409500683,0.889009192562267,0.5142845860536339,19
0.65,35.86716476540181,79.13162219448967,62.97907257699266,0.7440596244569899,0.892661677126155,0.5213422765622842,19
0.7000000000000001,35.10500864033601,78.37166587625792,62.23067023323466,0.742006475160289,0.8963723715960559,0.5285172079837751,19
0.75,33.95048005460524,77.36885150630405,61.73083966583851,0.7413006450444942,0.9000323329324882,0.5357628672251736,19
0.8,33.85112607754334,76.87938595254288,61.32309038624868,0.741563015406463,0.9036873694126027,0.5431115366706621,19
0.8500000000000001,33.53008442294176,76.7061597259789,60.8983479641751,0.7400555033580517,0.9073702219362797,0.5505794896698257,19
0.9,33.65276016333571,76.58919230932364,60.44293484330276,0.7392227898635504,0.9110588243963663,0.5581092378004338,19
0.9500000000000001,33.089268174042125,75.4838358536506,59.78217742723747,0.7449540684394995,0.9147373630511122,0.5657472265382568,19
1.0,32.75656811969263,74.74981716428925,59.00259176001637,0.7476704826271403,0.9183870234030185,0.5734162445961148,19
