year,obs_date,obs_snowline_elev,obs_snowline_std,n_obs_pixels,modeled_snowline_elev,modeled_snowline_std,n_modeled_boundary,elev_bias
1999,1999-09-08,1124.1399109779647,12.317234988155578,21,1060.6903081468984,14.007147592294084,40,-63.449602831066386
2003,2003-08-02,1024.1769556148226,0.7793981859412611,2,,,0,
2004,2004-08-29,1155.378198481457,22.65572860910429,22,1164.7701843235916,19.460063618412068,81,9.391985842134545
2005,2005-09-08,1136.68647093603,17.50092106863274,21,1122.670298505531,18.928788214681635,66,-14.016172430498955
2006,2006-09-19,1158.8686788940465,14.22185240838897,31,1095.1550182855053,14.71915061822245,50,-63.713660608541204
2007,2007-09-06,1229.0276494761563,46.99972681641923,13,1151.5589330949151,19.567919518594586,78,-77.46871638124117
2010,2010-09-15,1137.881635284656,11.98349611621616,25,1069.306586342901,13.536767133197683,45,-68.57504894175509
2013,2013-09-15,1164.1844437888114,23.298604200375124,45,1275.633357680539,22.256495466094126,33,111.44891389172744
2015,2015-08-27,1125.251306501435,4.204408888873458,16,1055.7348329521171,11.344272644854666,36,-69.51647354931788
2016,2016-08-29,1123.701345146905,10.712911771856202,22,,,0,
2017,2017-09-30,1162.327112943957,25.240473547582567,36,1174.71615099984,16.17184629849198,83,12.38903805588302
2018,2018-10-05,1179.8395798226077,35.62327408771085,49,1216.3376861018253,19.73494685008003,75,36.49810627921761
2019,2019-09-17,1161.8335247367343,24.297925855904765,45,1279.9617609030681,23.7081906048224,32,118.12823616633386
2020,2020-10-06,1121.5415490945022,8.872770490927632,14,1297.7075106150735,27.98374019163275,23,176.16596152057127
2021,2021-09-19,1122.3225408142696,9.539572322153916,19,1223.8156695366574,22.907779651635384,64,101.49312872238784
2023,2023-09-29,1125.516031940587,13.412360296362088,16,1234.1138099402058,20.130357956407064,55,108.59777799961876
2024,2024-09-20,1184.82561228736,21.491269722390964,24,1255.7862407218477,20.582567664289993,41,70.96062843448772
