year,date,source,scene_id,mean_elev_m,median_elev_m,min_elev_m,max_elev_m,std_elev_m,n_samples,shapefile
1995,1995-08-20,landsat-5,LT05_L2SP_069018_19950820_02_T1,1027.3,1030.8,926.2,1155.9,55.0,780,outputs/1995/snowline_08201995.shp.gpkg
1999,1999-09-08,landsat-7,LE07_L2SP_069018_19990908_02_T1,1107.4,1086.6,1040.8,1297.0,58.3,975,outputs/1999/1999_snowline.shp
2000,2000-08-09,landsat-7,LE07_L2SP_069018_20000809_02_T1,1036.2,1021.9,960.8,1201.4,56.1,578,outputs/2000/2000_snowline.shp
2003,2003-08-02,landsat-7,LE07_L2SP_069018_20030802_02_T1,984.3,984.8,929.6,1029.3,23.9,666,outputs/2003/2003_snowline.shp
2004,2004-08-29,landsat-7,LE07_L2SP_068018_20040829_02_T1,1203.8,1197.2,1130.5,1340.9,50.7,752,outputs/2004/2004_snowline.shp
2005,2005-09-08,landsat-7,LE07_L2SP_069018_20050908_02_T1,1106.7,1096.8,1046.9,1183.9,37.6,755,outputs/2005/2005_snowline.shp
2006,2006-09-19,landsat-5,LT05_L2SP_068018_20060912_02_T2,1110.0,1108.0,1029.6,1203.3,41.9,1002,outputs/2006/2006_09_19_snowline.shp
2007,2007-09-06,landsat-5,LT05_L2SP_069018_20070906_02_T1,1128.9,1126.9,1036.6,1327.0,67.3,988,outputs/2007/2007_09_06_snowline.shp
2009,2009-09-19,landsat-7,LE07_L2SP_069018_20090919_02_T1,1232.3,1224.7,1190.9,1282.9,22.5,524,outputs/2009/2009_09_19_snowline.shp
2010,2010-09-15,landsat-7,LE07_L2SP_068018_20100915_02_T1,1086.5,1083.5,956.1,1224.0,61.0,1139,outputs/2010/2010_09_15_snowline.shp
2011,2011-09-18,landsat-7,LE07_L2SP_068018_20110918_02_T1,1064.8,1052.5,1013.9,1159.1,34.4,476,outputs/2011/2011_09_18_snowline.shp
2012,2012-10-06,landsat-7,LE07_L2SP_068018_20121006_02_T1,1079.8,1071.2,1017.6,1165.6,40.8,566,outputs/2012/2012_10_06_snowline.shp
2013,2013-09-15,landsat-8,LC08_L2SP_068019_20130915_02_T1,1158.3,1157.6,1045.9,1311.7,57.0,2225,outputs/2013/2013_09_15_snowline.shp
2014,2014-09-25,landsat-8,LC08_L2SP_069018_20140925_02_T1,1238.2,1250.6,1159.2,1292.1,38.7,674,outputs/2014/2014_09_25_snowline.shp
2015,2015-08-27,,,1054.6,1057.3,961.4,1132.7,48.9,915,outputs/2015/2015_08_27_snowlines.shp
2016,2016-08-29,landsat-8,LC08_L2SP_069018_20160829_02_T1,1073.8,1056.6,968.6,1193.0,55.5,799,outputs/2016/2016_08_29_snowline.shp
2017,2017-09-30,sentinel-2,S2B_5VPG_20170930_0_L2A,1161.3,1161.9,1044.4,1306.6,59.3,1744,outputs/2017/2017_09_30_snowline.shp
2018,2018-10-05,sentinel-2,S2B_5VPG_20181005_0_L2A,1170.4,1171.8,1070.5,1243.2,44.8,1456,outputs/2018/2018_10_05_snowline.shp
2019,2019-09-17,sentinel-2,S2B_5VPG_20190917_0_L2A,1159.6,1152.1,1054.1,1355.5,61.5,2420,outputs/2019/2019_09_17_snowline.shp
2020,2020-10-06,sentinel-2,S2A_5VPG_20201006_1_L2A,1126.3,1124.9,1067.4,1221.4,33.9,1045,outputs/2020/2020_10_06_snowline.shp
2021,2021-09-19,sentinel-2,S2B_5VPG_20210919_1_L2A,1088.3,1076.7,1018.4,1189.7,40.3,853,outputs/2021/2021_09_19_snowline.shp
2023,2023-09-29,sentinel-2,S2B_5VPG_20230929_0_L2A,1124.8,1110.6,1065.0,1264.6,48.7,939,outputs/2023/2023_09_29_snowline.shp
2024,2024-09-20,sentinel-2,S2B_5VPG_20240920_0_L2A,1166.4,1177.9,1007.8,1338.1,69.7,1712,outputs/2024/2024_09_20_snowline.shp
